Value,Type,Category
2445600.0,True MC Data,Data
2353000.0,True MC Data,Data
2543600.0,True MC Data,Data
2517700.0,True MC Data,Data
2171800.0,True MC Data,Data
2517500.0,True MC Data,Data
2399000.0,True MC Data,Data
2479900.0,True MC Data,Data
2463500.0,True MC Data,Data
2370400.0,True MC Data,Data
2377400.0,True MC Data,Data
2470200.0,True MC Data,Data
2294400.0,True MC Data,Data
2232100.0,True MC Data,Data
2420100.0,True MC Data,Data
2433100.0,True MC Data,Data
2400400.0,True MC Data,Data
2525500.0,True MC Data,Data
2510800.0,True MC Data,Data
2494800.0,True MC Data,Data
2548000.0,True MC Data,Data
2543100.0,True MC Data,Data
2355800.0,True MC Data,Data
2410800.0,True MC Data,Data
2348300.0,True MC Data,Data
2587200.0,True MC Data,Data
2186700.0,True MC Data,Data
2332200.0,True MC Data,Data
2527200.0,True MC Data,Data
2445200.0,True MC Data,Data
2473200.0,True MC Data,Data
2384100.0,True MC Data,Data
2406400.0,True MC Data,Data
2375800.0,True MC Data,Data
2341200.0,True MC Data,Data
2401800.0,True MC Data,Data
2523600.0,True MC Data,Data
2580400.0,True MC Data,Data
2266900.0,True MC Data,Data
2526200.0,True MC Data,Data
2457600.0,True MC Data,Data
2303100.0,True MC Data,Data
2501200.0,True MC Data,Data
2521400.0,True MC Data,Data
2637000.0,True MC Data,Data
2295800.0,True MC Data,Data
2350900.0,True MC Data,Data
2504000.0,True MC Data,Data
2391000.0,True MC Data,Data
2485800.0,True MC Data,Data
2367600.0,True MC Data,Data
2312000.0,True MC Data,Data
2471300.0,True MC Data,Data
2437900.0,True MC Data,Data
2306200.0,True MC Data,Data
2510200.0,True MC Data,Data
2287300.0,True MC Data,Data
2588400.0,True MC Data,Data
2286700.0,True MC Data,Data
2443600.0,True MC Data,Data
2443500.0,True MC Data,Data
2339000.0,True MC Data,Data
2369800.0,True MC Data,Data
2512500.0,True MC Data,Data
2265500.0,True MC Data,Data
2385800.0,True MC Data,Data
2515700.0,True MC Data,Data
2388500.0,True MC Data,Data
2619200.0,True MC Data,Data
2172900.0,True MC Data,Data
2344400.0,True MC Data,Data
2390000.0,True MC Data,Data
2488600.0,True MC Data,Data
2338600.0,True MC Data,Data
2198400.0,True MC Data,Data
2460700.0,True MC Data,Data
2319400.0,True MC Data,Data
2456600.0,True MC Data,Data
2539500.0,True MC Data,Data
2420100.0,True MC Data,Data
2320600.0,True MC Data,Data
2507900.0,True MC Data,Data
2491400.0,True MC Data,Data
2502900.0,True MC Data,Data
